"Posición (m) Serie Nº 1";"Fuerza (N) Serie Nº 1"
0,32;-10,801
0,32;-10,813
0,32;-10,795
0,32;-10,801
0,32;-10,813
0,32;-10,802
0,32;-10,804
0,32;-10,822
0,32;-10,779
0,32;-10,808
0,32;-10,804
0,32;-10,784
0,32;-10,811
0,32;-10,804
0,32;-10,792
0,32;-10,813
0,32;-10,801
0,32;-10,792
0,32;-10,813
0,32;-10,795
0,32;-10,799
0,32;-10,799
0,32;-10,790
0,32;-10,792
0,32;-10,799
0,32;-10,797
0,32;-10,802
0,32;-10,802
0,32;-10,801
0,32;-10,809
0,32;-10,799
0,32;-10,799
0,32;-10,802
0,32;-10,799
0,32;-10,797
0,32;-10,802
0,32;-10,801
0,32;-10,795
0,32;-10,801
0,32;-10,801
0,32;-10,802
0,32;-10,802
0,32;-10,792
0,32;-10,793
0,32;-10,802
0,32;-10,799
0,32;-10,793
0,32;-10,801
0,32;-10,797
0,32;-10,799
0,32;-10,799
0,32;-10,793
0,32;-10,801
0,32;-10,797
0,32;-10,795
0,32;-10,795
0,32;-10,792
0,32;-10,799
0,32;-10,797
0,32;-10,788
0,32;-10,801
0,32;-10,797
0,32;-10,799
0,32;-10,797
0,32;-10,793
0,32;-10,795
0,32;-10,799
0,32;-10,774
0,32;-10,657
0,32;-10,886
0,32;-10,969
0,32;-10,801
0,32;-10,532
0,32;-11,337
0,32;-10,877
0,32;-10,894
0,32;-10,963
0,32;-10,831
0,32;-10,681
0,32;-10,827
0,32;-10,936
0,32;-10,729
0,32;-10,758
0,32;-10,913
0,32;-10,938
0,32;-10,917
0,32;-10,956
0,32;-10,979
0,32;-10,987
0,32;-10,881
0,32;-10,990
0,32;-10,919
0,32;-10,763
0,32;-10,817
0,32;-10,886
0,32;-10,754
0,32;-10,867
0,32;-10,861
0,32;-10,826
0,32;-10,892
0,32;-10,910
0,32;-10,879
0,32;-10,897
0,32;-10,888
0,32;-10,840
0,32;-10,877
0,32;-10,840
0,32;-10,845
0,32;-10,865
0,32;-10,886
0,32;-10,869
0,32;-10,915
0,32;-10,910
0,32;-10,895
0,32;-10,899
0,32;-10,886
0,32;-10,872
0,32;-10,877
0,32;-10,858
0,32;-10,824
0,32;-10,838
0,32;-10,845
0,32;-10,852
0,32;-10,854
0,32;-10,856
0,32;-10,865
0,32;-10,885
0,32;-10,888
0,32;-10,874
0,32;-10,870
0,32;-10,860
0,32;-10,867
0,32;-10,876
0,32;-10,863
0,32;-10,861
0,32;-10,867
0,32;-10,874
0,32;-10,890
0,32;-10,883
0,32;-10,869
0,32;-10,872
0,32;-10,874
0,32;-10,867
0,32;-10,854
0,32;-10,849
0,32;-10,849
0,32;-10,845
0,32;-10,851
0,32;-10,860
0,32;-10,865
0,32;-10,874
0,32;-10,879
0,32;-10,876
0,32;-10,874
0,32;-10,876
0,32;-10,863
0,32;-10,861
0,32;-10,854
0,32;-10,851
0,32;-10,867
0,32;-10,867
0,32;-10,860
0,32;-10,867
0,32;-10,863
0,32;-10,867
